@relation 'narrative-weka.filters.unsupervised.attribute.Remove-R1,7,9-12,18,20,22,25,27-29-weka.filters.unsupervised.attribute.Remove-R5,8'

@attribute 'Func. Position' numeric
@attribute 'Ratio Hero' numeric
@attribute 'Ratio Villain' numeric
@attribute 'Ratio Tester' numeric
@attribute 'Ratio Other' numeric
@attribute Motion numeric
@attribute Possession numeric
@attribute Self_motion numeric
@attribute Becoming_aware numeric
@attribute Ingestion numeric
@attribute Giving numeric
@attribute Communication numeric
@attribute Manipulation numeric
@attribute Forming_relationships numeric
@attribute 'Function Group Label' {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}

@data
0.223547,0.333333,0,0.666667,0,0,0,0,0,0,0,0,0,0,E
0.246539,0,0,1,0,0,0,0,0,0,0,0,0,0,F
0.311117,0.666667,0,0,0.333333,0,0,0,0,0,0,1,0,0,Pr
0.360536,1,0,0,0,0,0,0,0,0,0,0,0,0,Rs
0.400808,1,0,0,0,0,0,1,0,0,0,0,0,0,depart
0.692016,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,D
0.738151,0.142857,0.714286,0.142857,0,0,0,0,0,0,0,0,0,0,E
0.741536,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,return
0.752097,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,F
0.762961,0,1,0,0,0,0,0,0,0,0,0,0,0,Pr
0.810308,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,Rs
0.897473,0.5,0,0.333333,0.166667,0,0,0,0,0,0,1,0,0,o
0.971804,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,Q
0.990399,0,0,0,1,0,0,0,0,0,0,0,0,1,W
0.043508,0,0,0,0,0,1,0,0,0,0,0,0,0,alpha
0.149865,0,0,0,1,0,0,0,0,0,0,0,0,0,A
0.232317,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,o
0.369218,1,0,0,0,0,0,0,0,0,0,0,0,0,F
0.475264,0.666667,0,0.333333,0,1,0,0,0,0,1,0,0,0,K
0.551493,1,0,0,0,0,0,0,1,0,0,0,0,0,T
0.732887,0.666667,0,0,0.333333,0,0,0,0,0,0,0,0,0,Pr
0.831674,0,0,0,1,0,0,0,0,0,0,0,0,0,Rs
0.934194,0.5,0,0,0.5,0,0,0,0,0,0,1,0,0,Q
0.941506,0,0,0,1,0,0,0,0,0,0,0,0,0,Ex
0.980761,0,0,0,1,0,0,0,0,0,0,0,0,0,U
0.989577,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,W
0.062193,0,0,0,1,1,1,1,0,0,0,1,0,0,alpha
0.092361,0,0,0,1,0,0,0,0,0,0,0,0,0,gamma
0.097048,0,0,0,1,0,0,0,0,0,0,0,0,0,delta
0.114499,0,0,0,1,1,0,1,0,0,0,0,0,0,beta
0.137056,0,0,0,1,0,0,0,0,0,0,0,1,0,A
0.221016,0,0,0,1,0,0,0,0,0,0,0,0,0,B
0.288777,0.25,0,0.5,0.25,1,0,0,0,0,1,0,0,0,C
0.329388,0.333333,0,0.666667,0,0,0,0,0,0,0,0,0,0,depart
0.614082,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,D
0.655064,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,E
0.706071,0.333333,0,0.666667,0,0,0,0,0,0,0,0,0,0,G
0.781908,1,0,0,0,0,0,0,0,1,0,0,0,0,F
0.893948,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,I
0.922027,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,K
0.970575,0.166667,0,0.333333,0.333333,0,0,0,0,0,0,0,0,0,return
0.993317,0.2,0,0.6,0.2,0,0,0,0,0,0,0,0,1,W
0.161265,0.421053,0.210526,0.052632,0.315789,1,0,0,0,0,0,0,0,0,alpha
0.317391,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,theta
0.26581,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,theta
0.26581,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,A
0.572727,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,1,0,0,0,depart
0.674704,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,D
0.786166,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,E
0.814427,0.421053,0.210526,0.052632,0.315789,0,0,0,1,0,0,0,0,0,F
1.095652,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,1,0,0,return
1.095652,0.421053,0.210526,0.052632,0.315789,0,0,0,0,0,0,0,0,0,K
0.163306,0.261905,0,0.119048,0.52381,0,0,0,1,1,1,0,0,0,alpha
0.309677,0.261905,0,0.119048,0.52381,0,0,1,0,0,0,1,0,0,eta
0.273589,0.261905,0,0.119048,0.52381,1,0,0,0,0,0,0,0,0,beta
0.273589,0.261905,0,0.119048,0.52381,1,0,0,0,0,0,0,0,0,A
0.332863,0.261905,0,0.119048,0.52381,0,0,0,0,0,0,0,0,0,depart
0.623589,0.261905,0,0.119048,0.52381,1,0,1,0,0,0,1,0,0,G
0.916633,0.261905,0,0.119048,0.52381,0,0,0,1,0,0,0,0,0,H
0.913508,0.261905,0,0.119048,0.52381,0,0,1,0,0,0,1,0,1,I
0.90998,0.261905,0,0.119048,0.52381,0,0,0,0,0,0,0,0,0,W
1.004435,0.261905,0,0.119048,0.52381,0,0,0,0,0,0,1,0,0,return
1.004435,0.261905,0,0.119048,0.52381,0,0,0,0,0,0,0,0,0,Q
0.098524,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,alpha
0.148551,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,a
0.271819,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,1,0,0,B
0.276048,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,alpha
0.867374,0.313725,0,0.254902,0.27451,1,0,1,0,0,1,1,1,0,a
0.69417,0.313725,0,0.254902,0.27451,1,0,0,0,0,0,0,0,0,K
0.734119,0.313725,0,0.254902,0.27451,1,0,0,0,0,0,0,0,0,alpha
0.725301,0.313725,0,0.254902,0.27451,0,0,0,0,0,1,0,0,0,depart
0.725301,0.313725,0,0.254902,0.27451,0,0,0,0,0,1,0,0,0,D
0.758053,0.313725,0,0.254902,0.27451,0,0,1,0,0,0,1,0,0,E
0.754904,0.313725,0,0.254902,0.27451,0,0,0,0,0,1,0,0,0,D
0.766871,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,E
0.796473,0.313725,0,0.254902,0.27451,0,0,0,0,0,1,0,0,0,D
0.793324,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,E
0.944125,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,E
0.939626,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,F
0.972647,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,1,0,0,K
1.005848,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,L
1.005848,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,Q
1.005848,0.313725,0,0.254902,0.27451,0,0,0,0,0,0,0,0,0,W
