@RELATION narrative
@ATTRIBUTE "Is Actual" NUMERIC
@ATTRIBUTE "Func. Position" NUMERIC
@ATTRIBUTE "Ratio Hero" NUMERIC
@ATTRIBUTE "Ratio Villain" NUMERIC
@ATTRIBUTE "Ratio Tester" NUMERIC
@ATTRIBUTE "Ratio Prize" NUMERIC
@ATTRIBUTE "Ratio FalseHero" NUMERIC
@ATTRIBUTE "Ratio Other" NUMERIC
@ATTRIBUTE "Ratio NA" NUMERIC
@ATTRIBUTE "do" NUMERIC
@ATTRIBUTE "be" NUMERIC
@ATTRIBUTE "think" NUMERIC
@ATTRIBUTE "talk" NUMERIC
@ATTRIBUTE "answer" NUMERIC
@ATTRIBUTE "ask" NUMERIC
@ATTRIBUTE "punish" NUMERIC
@ATTRIBUTE "help" NUMERIC
@ATTRIBUTE "reward" NUMERIC
@ATTRIBUTE "move" NUMERIC
@ATTRIBUTE "Function Group Label" {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}
@ATTRIBUTE "Function Label" STRING
@DATA
1.0,0.104673590504,0,0,0,0,0,0,0,1.0,1.0,0.5,0.777777777778,0.4,0.7,0.5,0.5,0.8,0.8,a,'a5'
0.0,0.121810089021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.857142857143,0.4,0.75,0.8,0.666666666667,0.8,1.0,B,'B4'
0.0,0.130341246291,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,C,'C'
1.0,0.14821958457,0,0,0,0,0,0,0,1.0,0.5,0.5,0.75,0.4,0.888888888889,0.5,0.5,0.8,0.666666666667,depart,'up'
1.0,0.605192878338,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.888888888889,0.888888888889,0.571428571429,1.0,0.75,0.769230769231,1.0,1.0,H,'H2'
1.0,0.619732937685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.923076923077,0.714285714286,0.75,0.75,0.666666666667,1.0,1.0,I,'I2'
1.0,0.926706231454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.842105263158,1.0,0.5,0.888888888889,0.888888888889,0.7,0.5,0.75,0.857142857143,0.8,K,'K1'
0.0,0.970252225519,0,0,0,0,0,0,0,0.571428571429,1.0,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,return,'down'
1.0,0.0614339622642,0,0,0,0,0,0,0,0.571428571429,1.0,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,alpha,'alpha'
1.0,0.47758490566,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.666666666667,0.588235294118,0.4,0.833333333333,0.333333333333,0.588235294118,0.4,0.4,0.769230769231,1.0,A,'A9'
