Is Actual	Func. Position	Ratio Hero	Ratio Villain	Ratio Tester	Ratio Prize	Ratio FalseHero	Ratio Other	Ratio NA	do	be	think	talk	answer	ask	punish	help	reward	move	Function Group Label
1.0	0.961190393317	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.545454545455	0.75	0.5	0.727272727273	0.4	0.545454545455	0.5	0.666666666667	0.8	1.0	return
1.0	0.978767838496	0	0	0	0	0	0	0	0.5	1.0	0.857142857143	0.833333333333	0.5	0.857142857143	0.5	0.923076923077	1.0	1.0	W
1.0	0.0876854599407	0	0	0	0	0	0	0	1.0	1.0	0.5	0.777777777778	0.8	0.888888888889	0.5	0.8	0.8	0.857142857143	alpha
1.0	0.104673590504	0	0	0	0	0	0	0	1.0	1.0	0.5	0.777777777778	0.4	0.7	0.5	0.5	0.8	0.8	a
0.0	0.121810089021	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5	0.857142857143	0.4	0.75	0.8	0.666666666667	0.8	1.0	B
0.0	0.130341246291	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	C
1.0	0.14821958457	0	0	0	0	0	0	0	1.0	0.5	0.5	0.75	0.4	0.888888888889	0.5	0.5	0.8	0.666666666667	depart
1.0	0.605192878338	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.888888888889	0.888888888889	0.571428571429	1.0	0.75	0.769230769231	1.0	1.0	H
1.0	0.619732937685	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.923076923077	0.714285714286	0.75	0.75	0.666666666667	1.0	1.0	I
1.0	0.926706231454	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.842105263158	1.0	0.5	0.888888888889	0.888888888889	0.7	0.5	0.75	0.857142857143	0.8	K
0.0	0.970252225519	0	0	0	0	0	0	0	0.571428571429	1.0	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	return
1.0	0.0614339622642	0	0	0	0	0	0	0	0.571428571429	1.0	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	alpha
1.0	0.47758490566	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.666666666667	0.588235294118	0.4	0.833333333333	0.333333333333	0.588235294118	0.4	0.4	0.769230769231	1.0	A
1.0	0.502490566038	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.5	0.571428571429	0.5	0.5	0.5	0.5	1.0	depart
0.0	0.697283018868	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.857142857143	1.0	0.666666666667	0.888888888889	0.6	0.888888888889	0.75	0.666666666667	1.0	1.0	H
1.0	0.794113207547	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.666666666667	1.0	1.0	0.857142857143	1.0	0.666666666667	0.857142857143	1.0	I
1.0	0.963094339623	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.777777777778	0.8	0.769230769231	0.5	1.0	0.75	0.857142857143	K
1.0	0.986490566038	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	1.0	0.8	0.857142857143	0.666666666667	0.666666666667	1.0	1.0	return
0.0	0.988452830189	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.823529411765	0.777777777778	0.5	1.0	0.8	0.857142857143	0.5	0.666666666667	0.857142857143	0.625	return
1.0	0.0489079318633	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.75	0.4	0.888888888889	0.5	0.5	0.8	0.666666666667	depart
1.0	0.116260842303	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	D
1.0	0.301233148709	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.8	0.5	0.909090909091	0.8	0.666666666667	0.8	0.666666666667	0.909090909091	0.857142857143	E
1.0	0.323806040339	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.857142857143	0.4	0.75	0.666666666667	0.666666666667	0.8	1.0	F
1.0	0.330651060717	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.5	0.857142857143	0.571428571429	0.75	0.666666666667	0.666666666667	0.8	1.0	G
1.0	0.470320827673	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.75	0.8	0.4	0.888888888889	0.5	0.571428571429	1.0	0.8	T
0.0	0.499268471105	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.5	0.5	0.5	0.571428571429	0.8	0.5	0.5	0.5	1.0	A
1.0	0.582401504859	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.5	0.909090909091	0.571428571429	0.857142857143	0.666666666667	0.5	1.0	1.0	C
1.0	0.590552826837	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.75	0.4	0.888888888889	0.5	0.5	0.8	0.666666666667	depart
1.0	0.65848050998	0	0	0	0	0	0	0	0.842105263158	1.0	0.5	0.777777777778	0.4	0.7	0.5	0.5	0.75	0.555555555556	F
1.0	0.738217159578	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.5	0.4	0.5	0.8	0.666666666667	0.75	0.75	H
0.0	0.738217159578	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.5	0.4	0.5	0.8	0.666666666667	0.75	0.75	I
1.0	0.881492318947	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	K
1.0	0.9183822761	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.285714285714	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333	W
1.0	0.0705478581416	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	1.0	0.8	0.857142857143	0.5	0.75	1.0	1.0	alpha
1.0	0.097686538706	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.75	0.857142857143	0.666666666667	0.888888888889	0.6	0.75	0.75	0.666666666667	0.75	1.0	A
1.0	0.140205923478	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5	1.0	0.8	0.888888888889	0.5	0.75	1.0	0.75	B
